Дата;Количество поступивших вызовов;Количество принятых вызовов;Количество потерянных вызовов;Ср. скор. отв. (сек.);Ср. время разговора (сек.);Средн. число операторов;Макс. число операторов
01.03.2017;2142;1875;264;84;123;5;10
02.03.2017;1781;1736;43;23;117;6;11
03.03.2017;1785;1653;126;49;114;5;10
04.03.2017;1073;1024;41;28;121;4;6
05.03.2017;572;559;4;8;106;3;4
06.03.2017;1850;1644;202;82;135;5;10
07.03.2017;2151;1448;702;221;129;4;9
08.03.2017;669;651;14;12;108;4;6
09.03.2017;1958;1598;356;117;120;5;13
10.03.2017;1953;1697;251;89;130;5;10
11.03.2017;1070;985;84;53;120;4;6
12.03.2017;654;643;7;14;113;4;6
13.03.2017;2062;1940;115;50;116;5;11
14.03.2017;2185;1892;291;113;119;5;10
15.03.2017;2347;2181;159;56;111;6;12
16.03.2017;3053;2620;430;108;99;6;12
17.03.2017;3423;2560;858;199;105;5;11
18.03.2017;1643;1465;175;89;109;4;6
19.03.2017;885;842;37;31;111;3;4
20.03.2017;2368;2094;272;85;116;6;11
21.03.2017;2160;1969;186;72;127;6;12
22.03.2017;1983;1899;76;33;130;6;13
23.03.2017;1808;1686;118;48;127;5;13
24.03.2017;1813;1623;187;73;133;5;11
25.03.2017;1018;957;53;42;124;4;6
26.03.2017;647;618;21;28;126;3;4
27.03.2017;2012;1861;148;63;145;6;14
28.03.2017;1792;1612;177;73;139;5;11
29.03.2017;1699;1549;144;75;146;5;11
30.03.2017;1639;1502;134;56;148;5;11
31.03.2017;1696;1602;89;39;133;5;10
01.04.2017;1060;1015;34;31;125;4;6
02.04.2017;657;631;13;17;121;4;6
03.04.2017;1797;1746;47;29;131;6;13
04.04.2017;1729;1571;155;64;148;6;13
05.04.2017;1717;1624;88;44;136;6;14
06.04.2017;1715;1646;61;30;131;6;12
07.04.2017;1717;1512;201;75;134;6;13
08.04.2017;967;911;51;41;125;4;6
09.04.2017;595;570;24;29;113;3;4
10.04.2017;2150;1912;223;78;138;6;13
11.04.2017;1945;1803;134;51;137;6;13
12.04.2017;1766;1692;63;26;131;6;13
13.04.2017;1750;1692;52;22;126;6;13
14.04.2017;2002;1892;97;31;120;6;14
15.04.2017;1405;1321;80;42;101;4;6
16.04.2017;1006;831;171;105;110;3;5
17.04.2017;3464;3076;384;71;94;6;13
18.04.2017;3954;3236;716;117;103;6;14
19.04.2017;3195;2831;360;83;108;6;13
20.04.2017;2425;2237;183;58;120;6;13
21.04.2017;2211;1944;256;78;125;6;11
22.04.2017;1201;1081;115;65;115;4;6
23.04.2017;834;753;62;55;113;3;4
24.04.2017;2098;1899;193;76;127;5;9
25.04.2017;2128;1922;203;76;125;6;10
26.04.2017;1945;1868;76;30;124;6;12
27.04.2017;1828;1729;92;37;130;6;13
28.04.2017;2046;1803;241;85;127;5;12
29.04.2017;1108;1013;88;50;112;4;5
30.04.2017;707;659;45;46;115;3;3
01.05.2017;810;696;112;94;132;3;4
02.05.2017;1818;1699;118;55;118;5;8
03.05.2017;1695;1600;95;46;126;5;10
04.05.2017;1609;1534;72;34;121;5;11
05.05.2017;1980;1688;289;101;125;5;9
06.05.2017;1144;1027;116;72;105;3;5
07.05.2017;633;588;44;55;118;2;4
08.05.2017;829;810;17;24;97;3;5
09.05.2017;471;459;12;15;116;3;4
10.05.2017;2546;1530;1012;287;120;4;11
11.05.2017;2172;1576;591;178;141;5;9
12.05.2017;2079;1743;332;124;126;5;10
13.05.2017;1152;981;165;108;121;3;5
14.05.2017;650;586;59;68;115;3;4
15.05.2017;2629;1818;805;237;122;5;9
16.05.2017;3228;1887;1321;304;120;5;10
17.05.2017;3579;2503;1064;246;103;5;11
18.05.2017;3792;2895;891;210;94;5;11
19.05.2017;3750;2380;1370;270;107;5;12
20.05.2017;1333;1172;151;75;105;4;6
21.05.2017;682;642;38;46;105;2;3
22.05.2017;2174;2035;136;53;117;6;12
23.05.2017;1901;1762;137;46;129;6;11
24.05.2017;1728;1569;154;63;131;5;12
25.05.2017;1837;1621;215;77;135;5;12
26.05.2017;1619;1504;112;40;133;5;11
27.05.2017;884;802;74;65;125;3;5
28.05.2017;651;601;49;51;118;3;4
29.05.2017;1766;1655;106;46;135;6;12
30.05.2017;1679;1448;222;77;129;5;12
31.05.2017;1693;1523;164;59;139;5;14
01.06.2017;2011;1652;350;122;148;5;12
02.06.2017;1579;1337;239;95;135;4;11
03.06.2017;758;737;19;24;106;3;5
04.06.2017;583;567;11;22;95;2;4
05.06.2017;1682;1551;129;55;134;5;13
06.06.2017;1522;1447;74;36;144;6;14
07.06.2017;1719;1621;89;40;131;5;13
08.06.2017;1673;1481;180;66;152;6;13
09.06.2017;2200;1495;702;230;144;4;10
10.06.2017;1254;794;454;237;112;3;4
11.06.2017;584;545;38;46;114;3;4
12.06.2017;1009;913;96;84;94;3;4
13.06.2017;2134;1827;306;100;137;6;12
14.06.2017;2149;1822;324;99;146;5;13
15.06.2017;2273;1975;298;87;134;5;13
16.06.2017;2917;2529;383;94;110;5;14
17.06.2017;1785;1650;123;55;76;4;6
18.06.2017;1085;1015;68;52;72;2;3
19.06.2017;5134;2934;2197;387;108;5;15
20.06.2017;4218;2965;1249;236;108;5;12
21.06.2017;3573;2357;1214;279;118;5;15
22.06.2017;2326;2030;292;89;138;6;15
23.06.2017;2139;1812;323;106;134;5;12
24.06.2017;1135;998;130;83;113;3;5
25.06.2017;684;611;65;64;117;2;4
26.06.2017;2021;1879;139;48;144;6;14
27.06.2017;2109;1738;368;134;134;5;11
28.06.2017;1867;1627;239;93;136;5;11
29.06.2017;1782;1570;212;79;144;4;10
30.06.2017;1818;1573;243;104;146;5;12
01.07.2017;1207;1051;154;79;117;3;5
02.07.2017;569;542;27;46;120;3;4
03.07.2017;2096;1896;194;66;137;6;13
04.07.2017;1711;1626;78;30;142;6;14
05.07.2017;1622;1547;73;31;134;6;14
06.07.2017;1815;1507;300;117;141;5;11
07.07.2017;1886;1573;311;100;140;5;11
08.07.2017;899;778;116;91;118;3;4
09.07.2017;533;512;18;35;117;2;3
10.07.2017;1906;1703;200;69;131;6;13
11.07.2017;1897;1636;258;101;127;5;12
12.07.2017;1723;1652;69;25;132;6;15
13.07.2017;1637;1566;69;29;124;6;15
14.07.2017;1868;1791;71;24;120;6;16
15.07.2017;1129;975;152;88;104;3;5
16.07.2017;691;660;27;30;91;3;4
17.07.2017;2904;2642;261;60;105;6;13
18.07.2017;2268;2199;64;26;112;6;14
19.07.2017;2299;2178;116;35;116;6;15
20.07.2017;2027;1953;73;24;121;7;14
21.07.2017;1844;1798;39;23;118;6;13
22.07.2017;1005;919;82;62;114;3;5
23.07.2017;612;586;25;39;114;3;4
24.07.2017;2007;1893;112;50;128;6;12
25.07.2017;1943;1824;118;39;135;6;14
26.07.2017;1800;1742;57;23;126;7;14
27.07.2017;1554;1502;50;18;128;6;13
28.07.2017;1528;1478;47;20;130;6;13
29.07.2017;757;715;42;47;118;3;5
30.07.2017;519;495;22;32;103;3;4
31.07.2017;2096;1911;182;53;126;6;13
01.08.2017;1932;1755;175;63;136;5;11
02.08.2017;1665;1569;94;37;141;6;14
03.08.2017;1525;1475;45;26;127;6;11
04.08.2017;1515;1446;67;28;124;6;14
05.08.2017;828;791;32;30;121;3;5
06.08.2017;627;505;117;73;121;2;3
07.08.2017;1758;1706;42;17;122;6;13
08.08.2017;1625;1576;39;16;122;6;14
09.08.2017;1537;1507;27;11;115;6;14
10.08.2017;1668;1633;34;16;123;6;13
11.08.2017;1465;1435;25;12;123;6;13
12.08.2017;824;760;62;64;129;3;5
13.08.2017;530;518;12;18;101;3;4
14.08.2017;1863;1783;76;33;122;6;13
15.08.2017;2002;1955;42;20;114;6;13
16.08.2017;3031;2787;241;56;105;6;13
17.08.2017;2850;2734;110;33;100;6;13
18.08.2017;2626;2448;174;39;101;5;14
19.08.2017;1170;1048;122;74;108;3;5
20.08.2017;678;661;16;26;101;3;4
21.08.2017;2053;1921;131;42;120;5;12
22.08.2017;1850;1794;49;20;120;5;13
23.08.2017;1774;1704;68;30;121;4;11
24.08.2017;1655;1587;65;26;132;5;12
25.08.2017;1593;1515;77;27;125;4;12
26.08.2017;889;853;35;32;115;3;6
27.08.2017;548;518;30;42;114;3;4
28.08.2017;1675;1636;32;17;115;5;16
29.08.2017;1853;1699;151;54;129;4;13
30.08.2017;1384;1266;113;44;103;3;6
31.08.2017;2031;1894;135;42;121;5;13
01.09.2017;1517;1344;169;79;110;3;6
02.09.2017;925;896;28;28;122;4;6
03.09.2017;584;573;11;16;109;3;5
04.09.2017;1945;1897;42;22;119;6;13
05.09.2017;2098;1837;259;84;123;5;15
06.09.2017;1871;1722;147;50;117;5;13
07.09.2017;1741;1688;49;26;117;5;12
08.09.2017;1873;1797;75;34;127;6;14
09.09.2017;1080;953;125;97;122;3;6
10.09.2017;601;570;29;37;97;3;3
11.09.2017;1854;1759;95;37;116;5;13
12.09.2017;1951;1715;235;87;127;5;11
13.09.2017;1808;1447;353;115;130;4;10
14.09.2017;1664;1625;33;14;121;6;14
15.09.2017;2429;2194;232;71;119;6;14
16.09.2017;1230;1165;62;33;89;3;6
17.09.2017;888;869;19;30;81;2;4
18.09.2017;2553;2380;170;41;117;6;17
19.09.2017;2359;2208;144;38;114;6;17
20.09.2017;2342;2115;222;69;131;6;16
21.09.2017;1921;1851;68;20;130;6;17
22.09.2017;1853;1782;71;20;131;7;18
23.09.2017;965;816;149;88;112;3;5
24.09.2017;653;616;37;34;114;2;5
25.09.2017;2096;1956;134;44;137;7;16
26.09.2017;1964;1870;87;35;127;7;16
27.09.2017;1727;1663;62;25;137;6;14
28.09.2017;1597;1561;33;17;130;6;16
29.09.2017;1788;1727;57;21;124;7;16
30.09.2017;1159;1055;103;73;132;3;7
01.10.2017;800;715;81;67;129;2;4
02.10.2017;1911;1841;66;26;136;7;18
03.10.2017;1792;1748;41;14;127;7;18
04.10.2017;1870;1788;75;27;134;8;18
05.10.2017;1964;1872;88;30;134;8;20
06.10.2017;1861;1827;29;12;130;7;19
07.10.2017;983;951;31;27;113;3;6
08.10.2017;602;585;15;29;116;3;5
09.10.2017;1825;1783;40;16;123;7;16
10.10.2017;1886;1853;32;13;130;7;17
11.10.2017;1883;1775;108;30;130;6;16
12.10.2017;1841;1789;49;23;128;7;19
13.10.2017;1903;1817;86;31;135;6;14
14.10.2017;1214;1074;140;77;114;3;6
15.10.2017;810;773;37;30;109;3;4
16.10.2017;2913;2808;105;21;102;7;17
17.10.2017;4278;3494;780;81;98;7;18
18.10.2017;2559;2479;73;15;117;7;18
19.10.2017;2194;2084;106;29;127;6;17
20.10.2017;2057;2004;49;14;112;6;17
21.10.2017;1136;1072;63;41;111;3;6
22.10.2017;706;679;19;21;111;3;4
23.10.2017;2002;1935;62;20;126;7;19
24.10.2017;2101;2027;72;23;130;7;19
25.10.2017;2018;1879;136;29;135;7;19
26.10.2017;1890;1814;76;39;134;5;13
27.10.2017;1722;1647;75;25;132;6;17
28.10.2017;892;809;80;59;127;3;6
29.10.2017;613;583;30;47;122;3;5
30.10.2017;1811;1770;36;13;125;7;16
31.10.2017;1868;1809;55;22;127;7;18
01.11.2017;1948;1906;36;17;142;6;17
02.11.2017;1551;1533;16;5;133;7;17
03.11.2017;1641;1620;19;7;128;6;17
04.11.2017;921;873;47;36;115;3;6
05.11.2017;583;559;23;30;126;3;4
06.11.2017;850;836;13;10;111;3;6
07.11.2017;1810;1787;19;13;128;7;15
08.11.2017;1691;1667;15;7;133;6;15
09.11.2017;2004;1918;84;30;131;6;15
10.11.2017;1985;1940;43;21;130;6;16
11.11.2017;1129;1022;106;56;126;3;6
12.11.2017;660;634;23;22;116;4;6
13.11.2017;1923;1878;41;15;130;7;17
14.11.2017;2091;2048;41;14;128;6;15
15.11.2017;2779;2681;97;28;114;6;15
16.11.2017;2449;2370;77;20;119;6;16
17.11.2017;2222;2155;66;23;126;6;15
18.11.2017;1269;1093;176;81;120;3;6
19.11.2017;747;710;34;29;115;3;5
20.11.2017;2482;2384;97;32;124;7;17
21.11.2017;2113;2055;56;20;123;6;16
22.11.2017;1968;1946;20;10;124;7;17
23.11.2017;2068;2018;48;17;121;7;16
24.11.2017;1919;1855;60;21;129;6;17
25.11.2017;1193;965;227;142;128;3;6
26.11.2017;667;623;44;36;129;3;5
27.11.2017;1956;1906;45;12;128;7;16
28.11.2017;1922;1851;67;19;123;6;18
29.11.2017;1766;1715;51;29;133;5;16
30.11.2017;2009;1938;70;26;127;5;16
01.12.2017;1929;1845;81;30;137;6;16
02.12.2017;1022;824;197;141;148;3;5
03.12.2017;746;656;78;65;132;3;4
04.12.2017;2264;2207;57;25;131;7;18
05.12.2017;1883;1846;32;10;129;7;17
06.12.2017;1628;1608;16;7;134;6;16
07.12.2017;1764;1723;41;22;137;7;16
08.12.2017;1819;1774;40;18;135;7;16
09.12.2017;1010;975;33;29;119;3;6
10.12.2017;699;666;30;43;136;2;5
11.12.2017;2066;2006;58;17;128;7;17
12.12.2017;2164;2130;33;14;126;6;16
13.12.2017;2056;2020;31;12;118;6;17
14.12.2017;2229;2192;37;17;120;6;16
15.12.2017;3028;2895;129;32;117;6;19
16.12.2017;1493;1363;128;56;110;4;7
17.12.2017;920;885;32;30;105;3;4
18.12.2017;2433;2386;44;20;125;6;17
19.12.2017;2225;2156;67;20;130;7;17
20.12.2017;2138;2061;76;26;131;7;17
21.12.2017;2047;1986;60;18;132;7;17
22.12.2017;2115;2061;48;16;133;7;17
23.12.2017;1205;961;239;78;134;3;6
24.12.2017;752;722;30;32;112;3;4
25.12.2017;2286;2217;65;19;130;6;17
26.12.2017;2011;1959;51;19;139;6;16
27.12.2017;1882;1836;46;18;136;6;15
28.12.2017;2201;2078;122;32;134;6;15
29.12.2017;2624;2201;421;73;117;6;17
30.12.2017;1870;949;918;402;142;3;5
31.12.2017;631;617;13;16;108;3;5
01.01.2018;602;540;62;35;132;3;4
02.01.2018;842;810;31;12;104;3;7
03.01.2018;1095;1062;30;15;106;3;6
04.01.2018;1389;1308;78;25;96;3;7
05.01.2018;1217;1187;27;16;106;4;7
06.01.2018;904;890;11;12;108;3;7
07.01.2018;816;686;128;88;121;2;4
08.01.2018;1407;1372;35;25;110;4;7
09.01.2018;2393;2181;210;47;129;6;14
10.01.2018;2296;2195;99;35;131;6;15
11.01.2018;1910;1861;46;17;124;5;14
12.01.2018;1799;1748;51;21;125;6;14
13.01.2018;1081;1041;40;24;116;4;7
14.01.2018;699;667;30;34;109;3;4
15.01.2018;3461;2726;727;148;103;5;12
16.01.2018;3532;2428;1104;194;113;5;12
17.01.2018;3190;2734;455;94;111;5;13
18.01.2018;2913;2704;208;54;104;6;13
19.01.2018;2385;2066;317;92;120;5;12
20.01.2018;1345;1127;202;94;117;3;6
21.01.2018;822;713;109;80;134;3;4
22.01.2018;2358;2113;243;86;116;5;12
23.01.2018;2121;1982;137;51;130;6;12
24.01.2018;3067;2159;908;227;124;6;13
25.01.2018;1861;1759;100;42;131;5;12
26.01.2018;1775;1717;52;29;137;6;13
27.01.2018;1081;986;93;65;117;4;6
28.01.2018;586;567;18;33;130;3;5
29.01.2018;2099;1813;286;106;140;5;12
30.01.2018;1905;1736;167;60;144;5;12
31.01.2018;2380;1745;635;169;145;5;12
01.02.2018;2210;1840;370;124;143;6;12
02.02.2018;1678;1579;98;41;138;5;13
03.02.2018;949;867;79;51;146;3;7
04.02.2018;572;555;12;15;146;3;5
05.02.2018;2011;1857;153;45;133;6;13
06.02.2018;2055;1951;102;34;132;6;14
07.02.2018;2144;2039;103;28;127;6;14
08.02.2018;1807;1734;64;26;129;6;13
09.02.2018;1845;1758;87;24;124;6;14
10.02.2018;1067;1015;50;31;131;3;7
11.02.2018;675;658;12;18;118;3;6
12.02.2018;2098;1986;111;39;126;6;14
13.02.2018;1937;1892;45;16;123;7;14
14.02.2018;2132;2081;50;19;122;6;16
15.02.2018;3227;3026;201;45;94;6;14
16.02.2018;5374;3135;2239;329;103;6;15
17.02.2018;3065;1764;1299;284;96;4;6
18.02.2018;1189;1083;106;58;97;3;5
19.02.2018;3669;2890;779;161;104;5;13
20.02.2018;2495;2368;126;46;114;6;13
21.02.2018;2202;1994;207;69;123;5;13
22.02.2018;2320;2062;256;84;133;5;13
23.02.2018;1053;1011;36;23;121;3;7
24.02.2018;998;958;36;20;117;4;7
25.02.2018;691;673;18;17;133;3;6
26.02.2018;2575;2064;510;135;148;6;13
27.02.2018;2816;2325;488;142;131;6;14
28.02.2018;2553;2268;283;82;137;7;16
01.03.2018;2583;2001;582;177;140;6;13
02.03.2018;1910;1739;171;75;137;5;12
03.03.2018;969;905;55;36;126;3;7
04.03.2018;616;580;28;31;142;3;6
05.03.2018;2377;1495;881;280;139;4;10
06.03.2018;2504;1693;810;224;129;4;10
07.03.2018;2283;1419;864;279;138;5;9
08.03.2018;670;653;5;11;108;3;6
09.03.2018;1103;959;143;38;95;3;6
10.03.2018;872;859;13;14;109;3;6
11.03.2018;621;607;12;20;111;2;5
12.03.2018;2679;1536;1143;346;131;4;9
13.03.2018;2526;1670;850;254;132;5;10
14.03.2018;2267;1794;471;163;128;5;10
15.03.2018;2930;2351;578;156;110;5;11
16.03.2018;3662;2885;773;155;108;6;16
17.03.2018;2158;1928;230;51;84;3;7
18.03.2018;1256;1137;101;42;86;3;5
19.03.2018;2676;2420;255;67;121;5;14
20.03.2018;2590;2004;586;161;122;5;10
21.03.2018;2210;1983;227;64;137;6;14
22.03.2018;2087;1968;114;40;138;6;14
23.03.2018;2016;1814;200;71;143;5;14
24.03.2018;1059;962;84;48;120;3;7
25.03.2018;704;687;17;14;108;3;5
26.03.2018;2182;1853;329;111;155;6;14
27.03.2018;1970;1629;339;135;128;5;10
28.03.2018;1704;1636;62;31;131;6;14
29.03.2018;1268;1212;55;32;147;7;13
30.03.2018;1519;1391;127;53;156;7;14
31.03.2018;948;898;41;21;115;3;6
01.04.2018;728;702;26;33;146;3;5
02.04.2018;1998;1908;88;30;139;6;15
03.04.2018;1648;1627;21;10;144;6;15
04.04.2018;1572;1546;23;18;143;6;14
05.04.2018;1572;1540;31;20;139;6;14
06.04.2018;1723;1604;119;48;139;5;12
07.04.2018;827;812;15;11;128;4;8
08.04.2018;511;499;12;17;131;2;5
09.04.2018;2008;1890;116;43;141;5;14
10.04.2018;2539;2218;321;77;122;5;13
11.04.2018;1826;1718;108;43;142;5;12
12.04.2018;2201;1962;236;63;134;5;13
13.04.2018;2599;2180;418;105;147;5;15
14.04.2018;1320;1233;84;31;100;4;6
15.04.2018;810;776;32;22;101;3;5
16.04.2018;2294;2245;45;15;139;6;18
17.04.2018;2080;1989;90;26;140;5;15
18.04.2018;2303;2208;89;30;128;6;15
19.04.2018;1997;1942;55;21;142;6;15
20.04.2018;1888;1755;133;40;143;5;15
21.04.2018;954;908;45;22;114;3;6
22.04.2018;658;628;30;36;116;3;4
23.04.2018;2053;1987;62;23;144;7;16
24.04.2018;2077;2001;74;19;136;7;16
25.04.2018;2070;2009;60;18;155;8;17
26.04.2018;1975;1863;110;19;141;7;18
27.04.2018;2091;2034;49;15;143;7;16
28.04.2018;1941;1791;149;43;145;7;16
29.04.2018;1103;891;193;97;123;3;6
30.04.2018;1848;1315;533;193;110;4;6
01.05.2018;764;744;18;17;114;4;7
02.05.2018;917;876;31;25;107;3;5
03.05.2018;1888;1846;33;11;150;7;19
04.05.2018;1936;1827;109;33;158;7;19
05.05.2018;796;774;22;15;129;3;6
06.05.2018;531;516;3;7;115;3;5
07.05.2018;1934;1887;45;13;159;8;19
08.05.2018;1681;1644;33;11;141;7;16
09.05.2018;510;504;5;7;113;3;6
10.05.2018;1787;1749;35;11;148;7;16
11.05.2018;1833;1771;57;19;142;7;16
12.05.2018;946;916;30;21;114;4;6
13.05.2018;578;573;5;9;111;3;4
14.05.2018;2224;2175;39;7;126;6;19
15.05.2018;3042;2924;115;14;119;6;20
16.05.2018;3852;3456;395;24;109;7;19
17.05.2018;3090;2759;329;25;118;7;18
18.05.2018;2784;2653;127;10;127;8;20
19.05.2018;1247;1140;83;18;100;4;8
20.05.2018;748;722;26;6;98;4;7
21.05.2018;2490;2344;141;18;140;7;19
22.05.2018;2482;2241;234;47;133;6;16
23.05.2018;2139;1980;149;26;132;5;14
24.05.2018;2131;2054;74;15;146;7;20
25.05.2018;1907;1836;71;18;154;6;18
26.05.2018;920;856;53;24;143;4;7
27.05.2018;542;515;25;16;151;3;6
28.05.2018;1960;1925;34;9;150;7;19
29.05.2018;1946;1884;59;13;153;7;20
30.05.2018;1902;1848;47;12;160;8;20
31.05.2018;2023;1926;92;17;166;8;22
01.06.2018;2002;1940;62;30;153;6;17
02.06.2018;1007;924;83;51;131;3;6
03.06.2018;633;597;31;17;124;3;7
04.06.2018;1906;1833;55;14;159;7;18
05.06.2018;1723;1682;40;12;154;6;17
06.06.2018;1614;1560;52;16;172;6;14
07.06.2018;1730;1640;84;19;164;6;17
08.06.2018;1827;1748;62;19;154;6;16
09.06.2018;1884;1801;81;25;143;6;17
10.06.2018;886;826;59;25;122;3;7
11.06.2018;1164;1120;26;11;103;4;9
12.06.2018;778;761;11;11;109;4;7
13.06.2018;2161;2038;121;22;147;7;19
14.06.2018;2786;2519;262;47;141;7;19
15.06.2018;2657;2019;632;143;114;4;9
16.06.2018;1346;1302;44;16;96;4;8
17.06.2018;816;789;26;9;108;4;7
18.06.2018;2577;2481;94;10;135;7;17
19.06.2018;2472;2331;139;24;141;6;16
20.06.2018;2399;2253;140;26;145;6;17
21.06.2018;1919;1867;47;11;152;7;17
22.06.2018;1848;1754;90;24;152;6;16
23.06.2018;888;869;11;8;141;5;11
24.06.2018;594;574;19;16;143;4;9
25.06.2018;1944;1869;74;22;157;6;15
26.06.2018;1777;1712;62;13;158;6;14
27.06.2018;1712;1512;199;62;169;5;12
28.06.2018;1686;1572;110;30;160;5;13
29.06.2018;1727;1678;43;19;153;6;14
30.06.2018;881;860;21;11;135;5;12
01.07.2018;931;878;51;21;155;5;12
02.07.2018;2207;2068;134;25;163;7;16
03.07.2018;1805;1754;43;14;160;7;17
04.07.2018;1717;1687;25;14;159;6;15
05.07.2018;1793;1741;50;15;151;6;17
06.07.2018;1791;1750;33;13;156;6;16
07.07.2018;769;742;20;8;134;5;10
08.07.2018;521;506;12;12;142;3;8
09.07.2018;1834;1811;20;10;151;6;16
10.07.2018;1818;1767;45;15;155;6;15
11.07.2018;1757;1699;58;14;150;6;15
12.07.2018;2493;2465;25;7;116;7;18
13.07.2018;2304;2258;40;8;134;7;18
14.07.2018;1112;1075;34;8;119;6;12
15.07.2018;733;710;16;7;116;6;12
16.07.2018;2129;2096;28;10;137;8;18
17.07.2018;1909;1873;29;8;140;7;16
18.07.2018;1797;1757;37;10;140;7;16
19.07.2018;1802;1753;39;11;152;7;18
20.07.2018;1828;1789;37;15;146;6;16
21.07.2018;904;886;17;7;145;5;11
22.07.2018;557;547;10;7;141;4;8
23.07.2018;1812;1772;34;9;143;7;15
24.07.2018;1799;1741;54;14;150;6;15
25.07.2018;1830;1772;56;14;153;6;15
26.07.2018;1849;1795;50;17;140;6;15
27.07.2018;1690;1632;53;22;155;6;13
28.07.2018;750;738;10;8;134;5;11
29.07.2018;513;504;8;10;140;3;8
30.07.2018;1852;1812;23;10;144;7;16
31.07.2018;2160;2085;63;20;152;6;16
01.08.2018;2358;2280;75;20;153;8;20
02.08.2018;1659;1598;59;21;156;6;14
03.08.2018;1564;1524;37;12;163;6;16
04.08.2018;839;810;13;8;146;5;10
05.08.2018;465;458;6;14;137;4;7
06.08.2018;1801;1739;60;22;155;7;15
07.08.2018;1793;1744;45;14;139;6;16
08.08.2018;1797;1748;42;16;150;6;16
09.08.2018;2146;2074;71;29;142;6;15
10.08.2018;1968;1886;80;29;151;6;15
11.08.2018;959;919;30;14;119;4;10
12.08.2018;624;598;18;11;135;3;8
13.08.2018;2446;2361;85;22;129;7;15
14.08.2018;2466;2358;105;30;133;7;16
15.08.2018;2930;2636;287;67;123;6;15
16.08.2018;2614;2238;361;89;151;7;18
17.08.2018;2151;1985;159;35;158;8;18
18.08.2018;914;881;28;15;142;5;11
19.08.2018;752;637;97;61;149;2;6
20.08.2018;2420;2100;318;82;156;7;17
21.08.2018;1723;1518;200;58;137;4;11
22.08.2018;2191;1918;272;71;166;5;14
23.08.2018;2130;1964;157;56;138;5;15
24.08.2018;2018;1776;239;77;155;5;12
25.08.2018;948;898;50;35;164;4;9
26.08.2018;600;535;65;48;173;3;6
27.08.2018;2246;2025;214;61;151;6;15
28.08.2018;2046;1920;113;37;165;7;17
29.08.2018;1970;1748;220;62;171;6;17
30.08.2018;1360;1293;65;19;140;5;12
31.08.2018;2234;1965;251;73;155;6;16
